Title,Artist,Album Cover URL,Slug,Song Link
Nice For What,Drake,https://i.scdn.co/image/ab67616d0000b273648ee7f5b11d8703447e372f,nice-for-what,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
What Are You Waiting For,d4vd,https://i.scdn.co/image/ab67616d0000b273840386a7eea3536375461e84,what-are-you-waiting-for,https://open.spotify.com/track/10bdqV0CgtHjizrW4rfqAH
No Pole,Don Toliver,https://i.scdn.co/image/ab67616d0000b273307323fa550564b0201b1d76,no-pole,https://open.spotify.com/track/0eaVIYo2zeOaGJeqZ5TwYz
BMF,SZA,https://i.scdn.co/image/ab67616d0000b27316fdde9f6b5606419ca9b7ca,bmf,https://open.spotify.com/track/3U3hFkMr0Q90pD24EkE3Pr
Righteous Minds,Joey Bada$$,https://i.scdn.co/image/ab67616d0000b273fcd3724fba954e6104e4530d,righteous-minds,https://open.spotify.com/track/7dFGkZbmm6cVlI28bfMaWE
Come Thru,Drake,https://i.scdn.co/image/ab67616d0000b273adfb5909ec66db5fbb4d06c8,come-thru,https://open.spotify.com/track/5Ggfa9cpkpfp5D6Rg0Yyw1
Can't Leave Alone (feat. Avenoir & Maz B),"Pino, Avenoir, Maz B, 86",https://i.scdn.co/image/ab67616d0000b273cfe5c69e0a4ae129fb436739,can-t-leave-alone-feat-avenoir-maz-b,https://open.spotify.com/track/3bGfuGWywg85koHG8nturm
Dark Red,Steve Lacy,https://i.scdn.co/image/ab67616d0000b2733d2dfa42f771cd458b194979,dark-red,https://open.spotify.com/track/3EaJDYHA0KnX88JvDhL9oa
Shouldn't Be,Luke Chiang,https://i.scdn.co/image/ab67616d0000b273aa92f5dcbbc1c490b8039a63,shouldn-t-be,https://open.spotify.com/track/4ttU890L3mVVLzM9u7gMvr
I Think I Left the Stove On,Hotel Ugly,https://i.scdn.co/image/ab67616d0000b273934e5b0ab5e1f73519e6b1d2,i-think-i-left-the-stove-on,https://open.spotify.com/track/34HgIvucTKJvDgzHVMaGLG
Signs,Drake,https://i.scdn.co/image/ab67616d0000b273abf8d5beaed0be5438198d50,signs,https://open.spotify.com/track/6Na5uKk5SsqZimk0hAWo8y
luther (with sza),"Kendrick Lamar, SZA",https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,luther-with-sza,https://open.spotify.com/track/45J4avUb9Ni0bnETYaYFVJ
Infrunami,Steve Lacy,https://i.scdn.co/image/ab67616d0000b273c3545bbe806b845c2b52bc20,infrunami,https://open.spotify.com/track/0f8eRy9A0n6zXpKSHSCAEp
Let Go,Aaron May,https://i.scdn.co/image/ab67616d0000b27353c7a0c956286b6a39185af4,let-go,https://open.spotify.com/track/7cLnbmx7ZUWAwyocrKz3wL
